tir,vpn,vpn_ajuste
0.40334718,274856346.5,274.8563465
0.347363203,275465756.8,275.4657568
0.523409073,274984456.6,274.9844566
0.171947299,270903006.7,270.9030067
0.357131937,271588524.3,271.5885243
0.362711226,272886504.2,272.8865042
0.304462356,275120173.5,275.1201735
0.174630549,272827152.3,272.8271523
0.481443701,269649629.2,269.6496292
0.383040898,273474322,273.474322
0.186129907,277962280,277.96228
0.25860001,273124825.4,273.1248254
0.599563813,278738246.7,278.7382467
0.183763038,276750539.7,276.7505397
0.267392516,272737978.7,272.7379787
0.27037006,268575974.2,268.5759742
0.181412696,271996294.8,271.9962948
0.225553337,276284955.9,276.2849559
0.346090688,274247320.7,274.2473207
0.389221787,272462031,272.462031
0.238177356,273605874.5,273.6058745
0.364427417,273946347.8,273.9463478
0.270606158,271636639.4,271.6366394
0.201688615,277114465.4,277.1144654
0.248315999,276542862.9,276.5428629
0.594307645,269337099.5,269.3370995
0.267177418,274224780.5,274.2247805
0.208908662,273774932.1,273.7749321
0.311343296,273531328,273.531328
0.154180976,271590321.2,271.5903212
0.22565674,273890078.2,273.8900782
0.409644827,273715644.5,273.7156445
0.356839245,278448920,278.44892
0.322386785,271713744.8,271.7137448
0.375021958,273222445.9,273.2224459
0.191270428,268705885.1,268.7058851
0.214546613,272216677.8,272.2166778
0.141123593,271595124.1,271.5951241
0.31935115,272089723.2,272.0897232
0.273295944,272274538,272.274538
0.191550794,272169809.8,272.1698098
0.443834619,275671615.9,275.6716159
0.407604724,273505025,273.505025
0.345531088,271750564.8,271.7505648
0.312815933,273997334.3,273.9973343
0.407490505,274152447.5,274.1524475
0.479000521,272761189.3,272.7611893
0.437817653,274836976.3,274.8369763
0.189183578,273798919,273.798919
0.104354088,272410733.1,272.4107331
0.264036275,275955872.4,275.9558724
0.287469077,273119446.6,273.1194466
0.177803033,275193687.4,275.1936874
0.08189951,275663206.5,275.6632065
0.351657306,273431904.1,273.4319041
0.430375801,277100156.7,277.1001567
0.382614846,272663120.2,272.6631202
0.228627762,270313292.3,270.3132923
0.298472448,278237372.6,278.2373726
0.265685775,270829229.4,270.8292294
0.335066988,276722767.6,276.7227676
0.272966772,275487636.7,275.4876367
0.410642335,271336013.7,271.3360137
0.017189834,271087554.6,271.0875546
0.329373434,276118218.6,276.1182186
0.302177728,275686156.6,275.6861566
0.268546606,270780164.2,270.7801642
0.272044457,272457653.9,272.4576539
0.246837882,275584523.8,275.5845238
0.358634599,276308184.5,276.3081845
0.336132094,268730093.1,268.7300931
0.223974177,276230285.5,276.2302855
0.336631359,273828607.8,273.8286078
0.282302067,267271120.3,267.2711203
0.260094314,275506533,275.506533
0.192269254,270884155.5,270.8841555
0.44233478,274072192.6,274.0721926
0.354366865,272145721,272.145721
0.354323454,275604117.4,275.6041174
0.189965626,274560304.7,274.5603047
0.426194163,276817875.6,276.8178756
0.187002871,274934753.1,274.9347531
0.36564435,271362423.8,271.3624238
0.318038825,268286478.4,268.2864784
0.238738699,276043691,276.043691
0.250984795,272101378.7,272.1013787
0.350139161,274732357.3,274.7323573
0.440999439,274439115.5,274.4391155
0.11238947,268620940.1,268.6209401
0.378793379,271114370.8,271.1143708
0.211841183,281780383,281.780383
0.268654138,274313401.2,274.3134012
0.274822519,279731219.1,279.7312191
0.372426875,275633177.6,275.6331776
0.15430558,272991366.4,272.9913664
0.285339459,275841452.4,275.8414524
0.565503275,272077883.5,272.0778835
0.262475338,273385788.5,273.3857885
0.462611841,274840500,274.8405
0.228712284,276463431.6,276.4634316
0.540772504,279214463,279.214463
0.226148204,275269511,275.269511
0.272385574,271424362.9,271.4243629
0.423074783,275218861.3,275.2188613
0.28809746,279058102.5,279.0581025
0.252660358,272809928.9,272.8099289
0.146762309,271954306,271.954306
0.087258599,276821774.6,276.8217746
0.40738833,274487462.9,274.4874629
0.140940331,277009266.1,277.0092661
0.403950579,269738439.8,269.7384398
0.119173215,274508585.1,274.5085851
0.2379528,273339618.7,273.3396187
0.378772511,279934809,279.934809
0.432250294,273496316.2,273.4963162
0.23799067,272129899,272.129899
0.275674028,270617084.1,270.6170841
0.293059029,271283609,271.283609
-0.020759147,279214653.1,279.2146531
0.258735851,271838909.2,271.8389092
0.25619258,273271705.1,273.2717051
0.443684862,275577699.6,275.5776996
0.454640602,275551163.6,275.5511636
0.24283659,272716277.1,272.7162771
0.330595219,271975342.6,271.9753426
0.283165239,272485560.7,272.4855607
0.343551418,272595734.1,272.5957341
0.305922193,275922904.4,275.9229044
0.133150517,271238822.6,271.2388226
0.124086478,270762168.2,270.7621682
0.237197444,275134491.3,275.1344913
0.229421587,278498280.2,278.4982802
0.338671601,275365174.9,275.3651749
0.212034629,275005970,275.00597
0.269766512,273656232,273.656232
0.345078168,278075310.7,278.0753107
0.286683012,275778996.5,275.7789965
0.438652371,275332960.5,275.3329605
0.297856353,273708813.6,273.7088136
0.206437663,269651321.8,269.6513218
0.2281703,273651579.8,273.6515798
0.44065878,278267750.3,278.2677503
0.19783867,272498796.5,272.4987965
0.230203989,271664568.2,271.6645682
0.553656232,269450071.3,269.4500713
0.286196721,274832196.4,274.8321964
0.269966026,278799134.9,278.7991349
0.274362445,274416940.6,274.4169406
0.497667967,277800324.6,277.8003246
0.171993154,272829188.5,272.8291885
0.302284002,278724805.5,278.7248055
0.274905169,272427715.9,272.4277159
0.241323256,269698952.2,269.6989522
0.233334681,277261705.7,277.2617057
0.305431863,277104419,277.104419
0.218865045,276126092.3,276.1260923
